2025-05-27 03:11:27 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:11:47 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:47 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:47 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:50 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:11:58 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:11:59 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:11:59 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:11:59 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:01 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:01 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:01 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:01 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:02 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:10 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:10 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:10 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:10 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:12 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:12 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:12 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:12 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:12:13 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:12:21 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:23 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:23 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:23 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:24 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:24 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:12:24 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:31:36 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:31:36 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:31:36 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:31:59 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:31:59 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:31:59 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:31:59 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:32:10 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:32:10 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:32:10 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
2025-05-27 03:32:10 | INFO | DNALLMEmbedder: DNA embeddings will be stored under ../dependencies/human/dna_embeddings and subdirectories.
2025-05-27 03:32:20 | INFO | DNALLMEmbedder: Ensembl metadata dictionary loaded successfully
2025-05-27 03:32:40 | INFO | DNALLMEmbedder: Initializing class DNALLMEmbedder.
2025-05-27 03:32:40 | INFO | DNALLMEmbedder: Genome files will be stored under ../dependencies/human/genomes.
